body,Sentiment_Score,Sentiment_Label
[deleted],0.0,Neutral
hope they continue it post-covid,0.0,Neutral
Concordia is still living in the Dark Ages :),0.175,Positive
[deleted],0.0,Neutral
,0.0,Neutral
[deleted],0.0,Neutral
"I read that almost all Top Rated universities do ... for example Harvard has a tool even for students which even helps them personalise themselves too. They use something called Panopto other highly rated universities use it too ... not even talking about lectures shared internally. A lot of Harvard lectures are even posted on YouTube not just internally shared. I can give a lot more examples too just wanted to stay consistent.

Concordia is in the Dark Ages because not even their serves are up to par with what a university should have.

Edited: Of course all before the Pandemic.

[https://www.panopto.com/about/news/20-of-the-top-25-universities-worldwide-choose-panoptos-video-platform-for-lecture-capture-and-video-content-management/](https://www.panopto.com/about/news/20-of-the-top-25-universities-worldwide-choose-panoptos-video-platform-for-lecture-capture-and-video-content-management/)

There are countless other companies out there. I can give you a big list of universities too but it will be pointless.

Just wondering before you state a fact do you actually do research or a simple google search? The way you state it I would have believed it if I didn't already know they do and have been doing so for a while now.

I mean you are right in a sense if we are talking about all universities in the world .. considering universities which offer bachelors without any credibility and ones in places with no means of technology like here.

Another cool thing I don't know if Concordia does. Many universities like Harvard also do lectures out in the open. Like a park .. etc",0.08332706766917294,Positive
"Absolutely. In my case: graduated summer '20. It always depends on your major, however, I would still prefer an in-person option so that I can have a look at the course outline on day 1 :) And if there is no 100% final then I would just DNE the class.. Concordia is a party school after all.",0.190625,Positive
"As a commuter (\~1 hr 15) there are definitely positives. I have more time because I spend 0 time on bus and metro.

But it's a bit mind-numbingly boring to spend all day in front of a computer. I miss interacting with classmates face-to-face. Also, this is my first year and I'm in engineering and I imagine I'm missing out on a lot of actual hands-on experience. Oh well.",-0.075,Negative
I already spend all day in front of a computer. thats probably why i love these classes so much.,0.35,Positive
In person classes + Recorded lectures/tutorials should be the new normal.,0.1431818181818182,Positive
I would agree with this is well. But professor might see that as more work for them. I know some profs already have a problem uploading their slides on moodle.,0.5,Positive
Sounds like a them problem. They should get along with the times. But I get your point.,0.0,Neutral
"In-person exams, to reduce cheating. Classes, no thanks.",-0.1,Negative
"I don’t know what you study but for Business, classes are crucial because it’s not just about learning materials but also networking, and team building.

Plus you meet new people and sometimes make some new friends, it’s in my opinion is a crucial part of University because if you are just planning on learning stuffs and writing exams, just get a Udemy subscription.

All those classes, socialization, presentations prepared me for my workplace more than any of my courses by itself. 

But I guess it differs by faculties to a certain extent.",0.1645021645021645,Positive
,0.0,Neutral
"I don’t know what you study but for Business, classes are crucial because it’s not just about learning materials but also networking, and team building.

Plus you meet new people and sometimes make some new friends, it’s in my opinion is a crucial part of University because if you are just planning on learning stuffs and writing exams, just get a Udemy subscription.

All those classes, socialization, presentations prepared me for my workplace more than any of my courses by itself. 

But I guess it differs by faculties to a certain extent.",0.1645021645021645,Positive
"I completely understand your situation, but the prestige of the institution matters too, whether we like it or not, but i'd rather really be working alone :)",0.26666666666666666,Positive
"What do you study in Concordia, if you don’t mind telling?",0.0,Neutral
"Depends on your degree I guess, it's been terrible in engineering, esp for the shitty online labs...",-1.0,Negative
[deleted],0.0,Neutral
"I don't know man, iv'e taken a couple of math classes and it's all been professors pointing to equations on a power point. Hahahah",0.0,Neutral
,0.0,Neutral
"I don't know man, iv'e taken a couple of math classes and it's all been professors pointing to equations on a power point. Hahahah",0.0,Neutral
LMAO,0.6,Positive
I a dick professor who isn't taking remote teaching very well. He refuses to record lectures...,0.05,Positive
"I had this last semester, except he would record them but refused to post them until 1 day before the final exam.. I contacted the department chair and urged them to help him be more accommodating. It worked! Less than a week later he started making them all available and never mentioned it again.",0.14305555555555557,Positive
and they don't let you record the zoom... completely ridiculous. could totally assign a student or assistant to record and share it.,-0.16666666666666666,Negative
google OBS,0.0,Neutral
"If on windows 10, hit Win+G, built in recorder can be found there.",0.0,Neutral
,0.0,Neutral
"If on windows 10, hit Win+G, built in recorder can be found there.",0.0,Neutral
Ik but that's not the point. Sometimes you can't be there for class cuz of timezones,0.0,Neutral
"Ah, I just wanted to mention in case you or someone else in the chat wasn't aware.",0.25,Positive
"This way of learning can be very efficient, but it requires one to be organised and keep up with the work while one can easily start doing something else and not study, since a distraction is just a click away. On the other hand, when someone heads towards campus, they don't have much to get distracted by and just go do the stuff they have to do in class (concentrate on schoolwork).

In other words, you pay for the convenience of being able to study from home by having to get organised and disciplined enough to not be distracted by what is just a click away.

Basically:

Class at Home -&gt; Can be very good but you need to get organised and disciplined to get the advantages it has over the at school classes.

Class at school -&gt; Usually good for the majority (people that are not super strict when it comes to organization), since there are not a lot of things to distract you while in the 'study environment.'",0.2526666666666667,Positive
"&gt; Class at school -&gt; Usually good since not a lot of things to distract you while in the 'study environment.'

I remember watching 30 to 200 laptop screens during a lecture from the back of the lecture and just seeing people dicking around online.",0.35,Positive
"I mean at the end of the day, I'm sure most of these people you mention got better grades then than they got/get during now's online classes.",0.296875,Positive
"&gt; You can more conveniently balance your internship in your class schedule 

I disagree with this completely, if you work full time, that won't be possible.",0.2375,Positive
"I think he meant that if you are on an internship, you can easily take a course since you don't actually have to go to class and can just look at the recorded lectures after work",0.21666666666666667,Positive
"Even without in-person classes, it doesn't change the fact that studying and working full time is not possible unless you have exceptionally good time management skills, and the course difficulty level remains the same in terms of assignments and exams. Also, full-time work can lower student's grades if they're not in the summer when students are not in class.",0.26249999999999996,Positive
,0.0,Neutral
"Even without in-person classes, it doesn't change the fact that studying and working full time is not possible unless you have exceptionally good time management skills, and the course difficulty level remains the same in terms of assignments and exams. Also, full-time work can lower student's grades if they're not in the summer when students are not in class.",0.26249999999999996,Positive
"Nobody is saying that it is easy to study and work full time. I'm just saying that it is easier when the courses are online as you can access the lectures when you have free time. I'm on an internship right now and I'm taking ECON 203 online. I'm able to study after work and on weekends as well. If courses were in person, I wouldnt be able to attend the lectures occurring in the day",0.41150793650793654,Positive
"Honestly this depends on the professor and class... I do believe having online recording or lectures and tutorials are key, but I do miss the in-person interaction sometimes with teachers and other students...",0.15833333333333333,Positive
Depends on program if it is cs or business then it is ok. If it’s nursing then not,0.5,Positive
