Did your grades improve or suffer because of online learning_Sentiment_Analysis_Output_Sentiment_Score,Did your grades improve or suffer because of online learning_Sentiment_Analysis_Output_Sentiment_Label,Do digital or physical class readingsnotes work better for you_Sentiment_Analysis_Output_Sentiment_Score,Do digital or physical class readingsnotes work better for you_Sentiment_Analysis_Output_Sentiment_Label,Online class in the Philippines is a big giant mess_Sentiment_Analysis_Output_Sentiment_Score,Online class in the Philippines is a big giant mess_Sentiment_Analysis_Output_Sentiment_Label,Online vs on campus classes_Sentiment_Analysis_Output_Sentiment_Score,Online vs on campus classes_Sentiment_Analysis_Output_Sentiment_Label,Struggle with online class_Sentiment_Score,Struggle with online class_Sentiment_Label,struggling with online classes_Sentiment_Score,struggling with online classes_Sentiment_Label,Tell me your struggles with online learning_Sentiment_Analysis_Output_Sentiment_Score,Tell me your struggles with online learning_Sentiment_Analysis_Output_Sentiment_Label,Unpopular opinion Online class are better than in-person classes_Sentiment_Analysis_Output_Sentiment_Score,Unpopular opinion Online class are better than in-person classes_Sentiment_Analysis_Output_Sentiment_Label
0.09,Positive,-0.15,Negative,0.0,Neutral,-0.07,Negative,0.0,Neutral,-0.13,Negative,0.37,Positive,0.0,Neutral
0.0,Neutral,0.1,Positive,0.19,Positive,0.3,Positive,1.0,Positive,0.26,Positive,0.1,Positive,0.0,Neutral
0.8,Positive,0.5,Positive,0.09,Positive,0.07,Positive,-0.07,Negative,-0.54,Negative,0.35,Positive,0.18,Positive
0.25,Positive,0.15,Positive,-0.12,Negative,0.0,Neutral,0.0,Neutral,0.11,Positive,0.18,Positive,0.0,Neutral
0.5,Positive,0.25,Positive,0.27,Positive,0.06,Positive,0.12,Positive,0.27,Positive,0.29,Positive,0.0,Neutral
0.07,Positive,0.03,Positive,0.07,Positive,-0.02,Negative,0.65,Positive,0.25,Positive,0.7,Positive,0.0,Neutral
0.12,Positive,-0.09,Negative,0.25,Positive,0.1,Positive,-0.12,Negative,-0.07,Negative,0.4,Positive,0.08,Positive
0.19,Positive,0.23,Positive,0.14,Positive,0.0,Neutral,0.0,Neutral,0.28,Positive,0.0,Neutral,0.19,Positive
0.16,Positive,-0.02,Negative,0.0,Neutral,0.1,Positive,0.24,Positive,0.08,Positive,0.16,Positive,-0.08,Negative
0.0,Neutral,0.11,Positive,-0.23,Negative,0.09,Positive,0.26,Positive,0.21,Positive,0.05,Positive,0.35,Positive
